p,all,non_haredi,haredi,arab,oecd,non_haredi_oecd,haredi_oecd,arab_oecd
1,2456.533333,3069.5,1596.470588,1496.346154,3592.93028,4424.36713,2724.93466,2326.144235
2,3330.823529,4281.886792,2063.773585,1972.533333,4996.416516,6269,3534.205451,3126.826186
3,4339.2,5228.235294,2492.8125,2580,6489.118931,7774.021375,4277.801906,4017.073624
4,5257.176471,6263.157895,2902.133333,3066.117647,7919,9086.322138,4757,4866
5,6288.8,7175.3125,3313.846154,3572.1875,9302.844887,10568.39668,5369,5715.5
6,7295.466667,8160,3872,4367.466667,10856.21041,12095,6248.91557,7033.77543
7,8565.9375,9400.8,4474.352941,5159.245283,12680,13980.53677,7200.468353,8068.619213
8,10143.5,11107.2,5535.5,6107.764706,15210.1816,16443.5,8534,9869.089345
9,13172.8,14052.8,7456.5625,7447.733333,19229.5,20589.53525,11691.9203,11803
10,13173.8,14053.8,7457.5625,7448.733333,19230.5,20590.53525,11692.9203,11804
