p,non_haredi,haredi,arab,all
1,1128.8,703.7894737,198.8679245,827.9245283
2,1556.730769,917.5,667,1158.490566
3,1851.733333,1081.346154,878.8235294,1373.4375
4,2276,1151.578947,1091.833333,1520.377358
5,2486.352941,1263.466667,1140.941176,1691
6,2626.5,1366.805556,1225.283019,1811
7,2812.8,1433.176471,1314.4,1990.714286
8,2923.2,1491.40625,1361.5625,2156.631579
9,3001.6,1535.625,1428.125,2295.849057
10,3069.5,1596.470588,1496.346154,2456.533333
11,3144,1614.736842,1520.377358,2554.615385
12,3312,1635,1520.377358,2636.705882
13,3464,1655.529412,1530.526316,2758.4375
14,3607.2,1708,1596,2861.894737
15,3676,1751.538462,1695,2936
16,3824,1793.653846,1778.117647,2995.2
17,3945.6,1866.352941,1831.529412,3059.2
18,4030.588235,1962.65625,1892.830189,3112
19,4168.4375,1999.764706,1955.178571,3230.315789
20,4281.886792,2063.773585,1972.533333,3330.823529
21,4397.8125,2100,2001.263158,3432.8
22,4476.5,2143.5,2129.866667,3557.5
23,4603.2,2174.230769,2168.5,3624.266667
24,4698.490566,2261.346154,2205.5,3700.46875
25,4783.466667,2321.509434,2263.2,3830
26,4878.4,2382.5,2313.263158,3941.5625
27,5001,2410.526316,2402.823529,4018.933333
28,5096.25,2456.533333,2478.4,4125.411765
29,5162.4,2489.684211,2525.3125,4236.875
30,5228.235294,2492.8125,2580,4339.2
31,5321,2542.352941,2628,4419.2
32,5422.5,2580.576923,2696.5,4518.113208
33,5503.4375,2630.178571,2739.375,4633.584906
34,5646.5,2656.25,2794.4,4711.320755
35,5751.5,2691.368421,2840.5,4813.6
36,5857,2706.964286,2906.133333,4907.5
37,5972.8,2724.470588,2942.823529,5015.2
38,6084.235294,2826.823529,2960.235294,5096.25
39,6156.266667,2891.733333,3014.117647,5174.933333
40,6263.157895,2902.133333,3066.117647,5257.176471
41,6348.301887,2931.157895,3105.866667,5331.733333
42,6449.5,2978.947368,3167.764706,5444.8
43,6546.5,3009.647059,3218.4,5543
44,6618.125,3037.1875,3277.8125,5690.625
45,6742.4,3061,3331.875,5782.4
46,6829.6,3112.8125,3364.266667,5907.764706
47,6890.933333,3157.166667,3419.294118,6028.8
48,6995.625,3214,3468.4375,6101.5
49,7104.8,3243,3519.2,6192.8
50,7175.3125,3313.846154,3572.1875,6288.8
51,7256,3352.941176,3633.4375,6403.773585
52,7353.6,3408,3666.037736,6512.5
53,7480.5,3468.210526,3750,6580.9375
54,7551.058824,3493.176471,3869.811321,6715.471698
55,7674.716981,3515.2,3949.6,6818.5
56,7794.5,3585,3982.264151,6884.8
57,7837.8125,3678.461538,4093.866667,6990
58,7956.5,3721.923077,4194.133333,7106.4
59,8060,3800.46875,4270.133333,7194.5
60,8160,3872,4367.466667,7295.466667
61,8283.733333,3933.584906,4405.660377,7414
62,8438.125,3981.647059,4463.653846,7525.660377
63,8572,4043.294118,4607.733333,7636.5
64,8675.058824,4111.25,4663.2,7784
65,8820.377358,4162.884615,4743.294118,7844.528302
66,8914.6875,4239,4881.333333,7982.933333
67,9000,4295.2,4918.75,8099.2
68,9124.150943,4319.622642,5025.333333,8230.566038
69,9245.660377,4378.933333,5085.283019,8404.0625
70,9400.8,4474.352941,5159.245283,8565.9375
71,9503.4375,4553.6,5266.5,8692
72,9621.132075,4660.266667,5328.5,8835.09434
73,9808,4720.625,5450.535714,8976.875
74,9992.075472,4827.54717,5641.886792,9090
75,10138.4,4918.933333,5700,9245.660377
76,10315.2,4980,5780.705882,9402.133333
77,10504.6875,5033.75,5900.5,9562.4
78,10737,5182.117647,6021.25,9759.375
79,10920,5410.933333,6069.6875,9979.375
80,11107.2,5535.5,6107.764706,10143.5
81,11346.5625,5590.526316,6180.8,10376.5
82,11564.5,5657.307692,6307.8125,10634.33962
83,11835.2,5874.105263,6544.533333,10884.6875
84,12060,6101.5,6630.3125,11112.45283
85,12386.5,6403,6715.471698,11380.53333
86,12653.6,6580.266667,6834.933333,11695.2
87,13036.22642,6789.056604,6978.5,11949.6875
88,13286,6827.2,7175.5,12316.22642
89,13671.2,7119.466667,7356,12686.875
90,14052.8,7456.5625,7447.733333,13172.8
91,14498.11321,7684.90566,7583.789474,13535.2
92,15095,8188.679245,7806,14052.8
93,15754.66667,8652.1875,7978.5,14588
94,16316.5,9006.415094,8247,15263.46667
95,16991.5,9358.4,8637.8125,16027.5
96,18490.4,9689,9306.933333,16931.5625
97,20502.64151,10370.66667,10197.6,18598.5
98,23175,11901.5,11266.93333,21591.69811
99,29940,15208.67925,12808.75,27328.53333
100,29941,15209.67925,12809.75,27329.53333
